county,population
Kings County,"2,559,903"
Queens County,"2,253,858"
New York County,"1,628,706"
Suffolk County,"1,476,601"
Bronx County,"1,418,207"
Nassau County,"1,356,924"
Westchester County,"967,506"
Erie County,"918,702"
Monroe County,"741,770"
Richmond County,"476,143"
Onondaga County,"460,528"
Orange County,"384,940"
Rockland County,"325,789"
Albany County,"305,506"
Dutchess County,"294,218"
Saratoga County,"229,863"
Oneida County,"228,671"
Niagara County,"209,281"
Broome County,"190,488"
Ulster County,"177,573"
Rensselaer County,"158,714"
Schenectady County,"155,299"
Chautauqua County,"126,903"
Oswego County,"117,124"
Jefferson County,"109,834"
Ontario County,"109,777"
St. Lawrence County,"107,740"
Tompkins County,"102,180"
Putnam County,"98,320"
Steuben County,"95,379"
Wayne County,"89,918"
Chemung County,"83,456"
Clinton County,"80,485"
Cayuga County,"76,576"
Cattaraugus County,"76,117"
Sullivan County,"75,432"
Madison County,"70,941"
Warren County,"63,944"
Livingston County,"62,914"
Herkimer County,"61,319"
Washington County,"61,204"
Otsego County,"59,493"
Columbia County,"59,461"
Genesee County,"57,280"
Fulton County,"53,383"
Franklin County,"50,022"
Montgomery County,"49,221"
Tioga County,"48,203"
Cortland County,"47,581"
Chenango County,"47,207"
Greene County,"47,188"
Allegany County,"46,091"
Delaware County,"44,135"
Orleans County,"40,352"
Wyoming County,"39,859"
Essex County,"36,885"
Seneca County,"34,016"
Schoharie County,"30,999"
Lewis County,"26,296"
Yates County,"24,913"
Schuyler County,"17,807"
Hamilton County,"4,416"
